SampleId,Taxonomist,Study,Site,SampleDate,Year,JulianDay,Name,Basin,KywId,KywName,EcoregionNumber,Ecoregion,Province,EnvirodatId,Description,Device,SampleNumber,SampleStatus,Latitude,Longitude,GPSDatum,Altitude,StreamOrder,DistanceFromSource,DrainageArea,SubSample,TotalSample,Ameletidae,Ametropodidae,Aturidae,Baetidae,Baetiscidae,Brachycentridae,Capniidae,Ceratopogonidae,Chironomidae,Chloroperlidae,Edwardsiidae,Elmidae,Empididae,Enchytraeidae,Ephemerellidae,Ephemeridae,Feltriidae,Glossosomatidae,Heptageniidae,Hydrophilidae,Hydropsychidae,Hydroptilidae,Hydrozetidae,Hydryphantidae,Hygrobatidae,Lebertiidae,Lepidostomatidae,Leptoceridae,Leptohyphidae,Leptophlebiidae,Limnephilidae,Lumbriculidae,Naididae,Nemouridae,Oreoleptidae,Peltoperlidae,Perlidae,Perlodidae,Phryganeidae,Pionidae,Planorbidae,Poduridae,Polycentropodidae,Psychodidae,Sialidae,Simuliidae,Sperchontidae,Taeniopterygidae,Tipulidae,Torrenticolidae,Valvatidae,
18759,Heather McDermott,CABIN Training Module,AB05292,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; ~15km downstream of the town of Hope; dominant surrounding land use is forest,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18760,Heather McDermott,CABIN Training Module,AB05293,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Falls Provincial Park; upstream of confluence with Campbell River; access from campsite #2; dominant land use is logging,Kick Net,1,Test,50.0365306,-125.2948889,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
18546,Heather McDermott,CABIN Training Module,AC09201,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Hwy; access via Kingsvale bridge, kick area ~ 50m upstream of bridge; parked in gravel area; Water samples collected at 11:30;;Width, depths and velocity collected downstream of kick area;;Water Chemistry:  Nitrogen, Nitrate fell below DL (<0.002 mg/L); Nitrogen, Nitrite fell below DL (<0.005 mg/L)",Kick Net,1,Test,49.9051111,-120.9155000,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18548,Heather McDermott,CABIN Training Module,AC09202,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"access via Bulgur Rd. before reserve; ~ 15 km downstream of the town of Hope; car left in gravel parking area (~400m from sampling site).  Water is murky/silty, so it is difficult to see footing; slippery rocks, depth drops quickly (therefore test depth with pole/kicknet before stepping out; water samples collected at 10:00 ;;Width, depth and velocity collected downstream of kick area",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18549,Heather McDermott,CABIN Training Module,AC09203,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park; upstream of confluence with Campbell River; Access from Campsite #2; did not kick all the way across stream (too deep and fast on right bank).  Water samples collected at 15:00. ;;Stream widths, depths and velocity measured downstream of kick area.  Rotary Meter #1-519.   ",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
19013,Heather McDermott,CABIN Training Module,AG03041,30/09/2008 12:00:00 AM,2008,274,Coldwater river,Coldwater river,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"N of Coquihalla hwy; access via kingsvale bridge ~50m u/s. There is surrounding forest, logging, field/pasture, agri. Dominant use is field/pasture.;Riffle stream w/sampler1 using 400um kick net for total of 3min to a depth of 30cm;;Water chemistry at 11:30am",Kick Net,1,Test,49.9051111,-120.9155000,nad83,2716,3,,,17,100,,,,100,,58.82,,,447.07,70.59,,,,,394.11,,,,182.36,,288.24,,,,,,64.71,,,58.82,,,64.7,,,,,35.29,,,,,,11.76,,,,,23.53,,,
19017,Heather McDermott,CABIN Training Module,AG03042,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraswer River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgur Rd. before reserve; d/s of town of Hope. Surrounding landuse is forest (dominant), field/pasture, residential/urban. Limited access on L bank, kick area on R bank by good riparian zone",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.7,,,,,154.34,,,,8.7,,230.43,,,15.22,160.87,,2.17,,,,,,19.57,,8.7,2.17,,,58.7,,,,,,,,,,2.17,,,,,,,,,
19018,Heather McDermott,CABIN Training Module,AG03043,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"Elk falls Provincial Park; u/s of confluence with Campbell R.; access from campsite #2; surrounding land use is forest, logging (dominant), mining, res/urban, and rec. Sample taken at 15:00",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
16962,Heather McDermott,CABIN Training Module,AJ08031,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"North of Coquihalla Highway, access via Kingsvale, bridge approx. 50m upstream",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,11.76,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
16965,Heather McDermott,CABIN Training Module,AJ08032,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"access via the Bulgur Road before reserve, downstream of the town of Hope",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
16966,Heather McDermott,CABIN Training Module,AJ08033,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"at Elk Falls Provincial Park; upstream of confluence with Campbell River, access at Campsite 2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
17363,Heather McDermott,CABIN Training Module,AKN04261,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Highway, access via Kingsvale, bridge approx 50 metres upstream.",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
17364,Heather McDermott,CABIN Training Module,AKN04262,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgar road before the reserve, downstream of the town of Hope.",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
17365,Heather McDermott,CABIN Training Module,AKN04263,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Falls Provincial Park; upstream of confluence with Campbell River.  Access at Campsite #2.,Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
18839,Heather McDermott,CABIN Training Module,AM05271,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Highway; access via Kingvale Bridge,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18841,Heather McDermott,CABIN Training Module,AM05272,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; d/s of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18845,Heather McDermott,CABIN Training Module,AM05273,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, upstream of confluence with Campbell River; access from campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
17492,Heather McDermott,CABIN Training Module,AMI05221,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Hwy. Access via Kingsvale. Bridge about 50m upstream,Kick Net,1,Test,49.9051111,-120.9155000,nad83,91,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
17493,Heather McDermott,CABIN Training Module,AMI05222,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgar Rd before Reserve.  Downstream of the town of Hope.,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
17494,Heather McDermott,CABIN Training Module,AMI05223,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Fall Provincial Park.  Upstream of confluence within Campbell River.  Access at campsite #2.,Kick Net,1,Test,50.0365306,-125.2948889,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
21911,Heather McDermott,CABIN Training Module,AP04131,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,This is site one for the Data entry assignment.,Kick Net,1,Test,49.9051100,-120.9155000,nad83,2716,3,,,17,100,,,,99.98,,58.8,,,429.32,70.57,,,,,394.08,,,,182.34,,288.23,,,,,,64.7,,,58.8,,,82.31,,,,,35.28,,,,,,11.74,,,,,23.51,,,
21925,Heather McDermott,CABIN Training Module,AP04132,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,This is site 2 for the data entry training module.,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
21926,Heather McDermott,CABIN Training Module,AP04133,28/09/2009 12:00:00 AM,2009,271,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,This is site 3 for the data entry module.,Kick Net,1,Test,50.0365300,-125.2948900,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
18328,Heather McDermott,CABIN Training Module,AP04181,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Hwy; access via kingsvale bridge ~50m u/s,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18329,Heather McDermott,CABIN Training Module,AP04182,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,access via Bulgur Rd before reserve; d/s of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18330,Heather McDermott,CABIN Training Module,AP04183,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,@ Elk Falls Provincial Park; u/s of confluence with Campbell River; access from campsite #2,Kick Net,1,Test,50.0365306,-125.2948889,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
19971,Heather McDermott,CABIN Training Module,AR092808,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Fraser River Basin,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, upstream of confluence with Campbell River, access from campsite #2.",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
20219,Heather McDermott,CABIN Training Module,AR092908,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River Basin,08M03,Harrison,192,Pacific Ranges,British Columbia,,"Access via Bulgur Road before reserve, downstream of the town of Hope.",Kick Net,1,Test,49.4975000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.7,,,,,,,,,,2.17,,,,,,,,,
18632,Heather McDermott,CABIN Training Module,AR09292,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08N11,Similkameen,209,Thompson-Okanagan Plateau,British Columbia,,Access via Bulgur Road before reserve; downstream of the town of Hope,Kick Net,1,Test,49.3475000,-120.3944444,nad83,25,8,,,100,100,6,,,4,,,,,71,,,,4,,,,,7,74,,1,,,,,,9,,4,1,,,27,,,,,,,,,,1,,,,,,,,,
20220,Heather McDermott,CABIN Training Module,AR093008,30/09/2008 12:00:00 AM,2008,274,Cold Water River,Cold Water River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla highway, access via vikings vail bridge about 50m upstream.",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18628,Heather McDermott,CABIN Training Module,AS09051,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"n of coquihalla hy access via kingsvale bridge, 50 m u/s",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18630,Heather McDermott,CABIN Training Module,AS09052,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,acces via bulger rd before reserve,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18631,Heather McDermott,CABIN Training Module,AS09053,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,elk falls park access from campsite 2,Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
17496,Heather McDermott,CABIN Training Module,AS09191,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Hwy, access via Kingsvale, bridge ~50m",Kick Net,1,Test,49.9050000,-120.9155556,nad83,828,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
17497,Heather McDermott,CABIN Training Module,AS09192,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgur Rd before reserve, d/s of the town of Hope",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
17498,Heather McDermott,CABIN Training Module,AS09193,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, uls of confluence w/ Campbell River, access at campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
18889,Heather McDermott,CABIN Training Module,AT05101,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Hwy; access via Kingsvale Bridge ~50m u/s.,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
18890,Heather McDermott,CABIN Training Module,AT05102,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; d/s of the town of Hope.,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,46,100,13.04,,,8.69,,,,,154.31,,,,8.69,,230.43,,,15.21,160.86,,2.17,,,,,,19.56,,8.69,2.17,,,58.68,,,,,,,,,,2.17,,,,,,,,,
18892,Heather McDermott,CABIN Training Module,AT05103,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Falls Provincial Park; u/s of confluence with Campbell River; access from campsite #2.,Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,4,100,,,75,200,,,,,3050,,,,275,,,,,350,450,,475,25,,25,,225,,,,,,,2350,25,,,,,,25,,,,,,300,675,,100,75,,
20302,Heather McDermott,CABIN Training Module,BH12261,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla HWY; access via Kingsvale Bridge- 50m's u/s;;49.90511 N;120.9155 W",Kick Net,1,Test,49.9051100,-120.9155000,nad83,2716,3,,,17,100,,,,100,,58.82,,,429.36,70.58,,,,,394.11,,,,182.34,,288.23,,,,,,64.7,,,58.82,,,82.34,,,,,35.29,,,,,,11.76,,,,,23.52,,,
