RNAME,VARIABLE_ID,VARIABLE_ENG_TITLE,VARIABLE_FRE_TITLE,VARIABLE_ENG_NAME,VARIABLE_GROUP,VARIABLE_FORM,UNIT_ID
HARDNESS,HARDNESS,HARDNESS,DURET…,HARDNESS,CALCULATED,OTHER,MG/L
HCB,HCB,HEXACHLOROBENZENE,HEXACHLOROBENZ»NE,HCB,CHLORINATED BENZENES,TOTAL,NG/L
HG-TOT,HG-TOT,MERCURY TOTAL,MERCURE TOTAL,MERCURY,METALS,TOTAL,UG/L
HG-TOTI,HG-TOTI,MERCURY TOTAL INORGANIC,MERCURE TOTAL INORGANIQUE,MERCURY,METALS,TOTAL INORGANIC,UG/L
K-DISSF,K-DISSF,POTASSIUM DISSOLVED/FILTERED,,POTASSIUM,IONS,DISSOLVED,MG/L
LINDANE,LINDANE,LINDANE,LINDANE,LINDANE,PESTICIDES AND HERBICIDES,OTHER,NG/L
MCPA,MCPA,MCPA,MCPA,MCPA,PESTICIDES AND HERBICIDES,OTHER,NG/L
MECOPROP,MECOPROP,MECOPROP,,MECOPROP,PESTICIDES AND HERBICIDES,OTHER,NG/L
METOLACHLOR,METOLACHLOR,METOLACHLOR,METOLACHLORE,METOLACHLOR,PESTICIDES AND HERBICIDES,OTHER,NG/L
METRIBUZIN,METRIBUZIN,METRIBUZIN,METRIBUZIN,METRIBUZIN,PESTICIDES AND HERBICIDES,OTHER,NG/L
MG-DISSF,MG-DISSF,MAGNESIUM DISSOLVED/FILTERED,,MAGNESIUM,IONS,DISSOLVED,MG/L
MN-DISS,MN-DISS,MANGANESE DISSOLVED,MANGAN»SE DISSOUS,MANGANESE,METALS,DISSOLVED,UG/L
MN-TOT,MN-TOT,MANGANESE TOTAL,MANGAN»SE TOTAL,MANGANESE,METALS,TOTAL,UG/L
MO-EXT,MO-EXT,MOLYBDENUM EXTRACTABLE,MOLYBD»NE EXTRACTIBLE,MOLYBDENUM,METALS,EXTRACTABLE,UG/L
MO-TOT,MO-TOT,MOLYBDENUM TOTAL,MOLYBD»NE TOTAL,MOLYBDENUM,METALS,TOTAL,UG/L
NA-TOT,NA-TOT,SODIUM TOTAL,SODIUM TOTAL,SODIUM,IONS,TOTAL,MG/L
NA-DISSF,NA-DISSF,SODIUM DISSOLVED/FILTERED,,SODIUM,IONS,DISSOLVED,MG/L
NH3-DISS,NH3-DISS,AMMONIA DISSOLVED,AZOTE AMMONIACALE DISSOUS,AMMONIA,NUTRIENTS,DISSOLVED,MG/L
NH3-UF,NH3-UF,AMMONIA UNFILTERED,AZOTE AMMONIACALE NON FILTR…,AMMONIA,NUTRIENTS,UNFILTERED,MG/L
NH3-UI,NH3-UI,AMMONIA UNIONIZED,AZOTE AMMONIACALE NON-IONIS…,AMMONIA,NUTRIENTS,TOTAL,MG/L
NI-EXT,NI-EXT,NICKEL EXTRACTABLE,NICKEL EXTRACTIBLE,NICKEL,METALS,EXTRACTABLE,UG/L
NI-TOT,NI-TOT,NICKEL TOTAL,NICKEL TOTAL,NICKEL,METALS,TOTAL,UG/L
NO2-DISS,NO2-DISS,NITROGEN NITRITE DISSOLVED,AZOTE NITRITES DISSOUS,NITROGEN,NUTRIENTS,DISSOLVED,MG/L
NO2-TOT,NO2-TOT,NITROGEN NITRITE TOTAL,AZOTE NITRITES TOTAL,NITROGEN,NUTRIENTS,TOTAL,MG/L
NO3-DISS,NO3-DISS,NITROGEN NITRATE DISSOLVED,AZOTE NITRATES DISSOUS,NITROGEN,NUTRIENTS,DISSOLVED,MG/L
NO3-NO2,NO3-NO2,NITROGEN NITRATE & NITRITE UNFILTERED,NITRATES ET NITRITES NON FILTR…S,NITROGEN,NUTRIENTS,UNFILTERED,MG/L
NO3-NO2-D,NO3-NO2-D,NITROGEN NITRATE & NITRITE DISSOLVED,AZOTE NO3 & NO2 DISSOUS,NITROGEN,NUTRIENTS,DISSOLVED,MG/L
NO3-TOT,NO3-TOT,NITROGEN NITRATE TOTAL,AZOTE NITRATES TOTAL,NITROGEN,NUTRIENTS,TOTAL,MG/L
N-TOT,N-TOT,NITROGEN TOTAL,AZOTE TOTAL,NITROGEN,NUTRIENTS,TOTAL,MG/L
N-TOT-DISS,N-TOT-DISS,NITROGEN TOTAL DISSOLVED,AZOTE TOTAL DISSOUS,NITROGEN,NUTRIENTS,DISSOLVED,MG/L
O-DISS,O-DISS,OXYGEN DISSOLVED,OXYG»NE DISSOUS,OXYGEN,PHYSICAL,DISSOLVED,MG/L
PB-DISS,PB-DISS,LEAD DISSOLVED,PLOMB DISSOUS,LEAD,METALS,DISSOLVED,UG/L
PB-EXT,PB-EXT,LEAD EXTRACTABLE,PLOMB EXTRACTIBLE,LEAD,METALS,EXTRACTABLE,UG/L
PB-TOT,PB-TOT,LEAD TOTAL,PLOMB TOTAL,LEAD,METALS,TOTAL,UG/L
PH-CALC,PH-CALC,PH GUIDELINE CALCULATIONS,PH CALCULS DE RECOMMANDATIONS,PH GUIDELINE CALCULATIONS,PHYSICAL,OTHER,PH UNITS
PH-FIELD,PH-FIELD,PH FIELD,PH,PH,PHYSICAL,OTHER,PH UNITS
PH-LAB,PH-LAB,PH LAB,,PH,PHYSICAL,OTHER,PH UNITS
PICLORAM,PICLORAM,PICLORAM,PICLORAM,PICLORAM,PESTICIDES AND HERBICIDES,OTHER,NG/L
P-TOT,P-TOT,PHOSPHORUS TOTAL,PHOSPHORE TOTAL,PHOSPHORUS,NUTRIENTS,TOTAL,MG/L
P-TOT-DISS,P-TOT-DISS,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORE TOTAL DISSOUS,PHOSPHORUS,NUTRIENTS,DISSOLVED,MG/L
SB-EXT,SB-EXT,ANTIMONY EXTRACTABLE,ANTIMOINE EXTRACTIBLE,ANTIMONY,METALS,EXTRACTABLE,UG/L
SB-TOT,SB-TOT,ANTIMONY TOTAL,ANTIMOINE TOTAL,ANTIMONY,METALS,TOTAL,UG/L
SC-FIELD,SC-FIELD,SPECIFIC CONDUCTANCE FIELD,,SPECIFIC CONDUCTANCE,PHYSICAL,OTHER,US/cm
SC-LAB,SC-LAB,SPECIFIC CONDUCTANCE LAB,,SPECIFIC CONDUCTANCE,PHYSICAL,OTHER,US/cm
SE-DISS,SE-DISS,SELENIUM DISSOLVED,S…L…NIUM DISSOUS,SELENIUM,NON-METALS,DISSOLVED,UG/L
SE-EXT,SE-EXT,SELENIUM EXTRACTABLE,S…L…NIUM EXTRACTIBLE,SELENIUM,NON-METALS,EXTRACTABLE,UG/L
SE-TOT,SE-TOT,SELENIUM TOTAL,S…L…NIUM TOTAL,SILVER,NON-METALS,TOTAL,UG/L
SIMAZINE,SIMAZINE,SIMAZINE,SIMAZINE,SIMAZINE,PESTICIDES AND HERBICIDES,OTHER,NG/L
SO4-DISS,SO4-DISS,SULPHATE DISSOLVED,SULFATE DISSOUS,SULPHATE,IONS,DISSOLVED,MG/L
TDS,TDS,TOTAL DISSOLVED SOLIDS,,TOTAL DISSOLVED SOLIDS,PHYSICAL,DISSOLVED,MG/L
TEMP,TEMP,TEMPERATURE,TEMP…RATURE,TEMPERATURE,PHYSICAL,OTHER,DEG C
TEMP-CALC,TEMP-CALC,TEMPERATURE GUIDELINE CALCULATIONS,TEMP…RATURE CALCULS DE RECOMMANDATIONS,TEMPERATURE GUIDELINE CALCULATIONS,PHYSICAL,OTHER,DEG C
TL-EXT,TL-EXT,THALLIUM EXTRACTABLE,THALLIUM EXTRACTIBLE,THALLIUM,METALS,EXTRACTABLE,UG/L
TL-TOT,TL-TOT,THALLIUM TOTAL,THALLIUM TOTAL,THALLIUM,METALS,TOTAL,UG/L
TPM,TPM,TOTAL PARTICULATE MATTER,MATIERES PARTICULAIRES TOTALES,TOTAL PARTICULATE MATTER,PHYSICAL,TOTAL,MG/L
TRIFLUR,TRIFLUR,TRIFLURALIN,TRIFLURALIN,TRIFLURALIN,PESTICIDES AND HERBICIDES,OTHER,NG/L
TSS,TSS,TOTAL SUSPENDED SOLIDS,MATIERES EN SUSPENSIONS TOTAL,TOTAL SUSPENDED SOLIDS,PHYSICAL,TOTAL,MG/L
TURB,TURB,TURBIDITY,TURBIDIT…,TURBIDITY,PHYSICAL,OTHER,NTU
U-TOT,U-TOT,URANIUM TOTAL,URANIUM TOTAL,URANIUM,RADIONUCLIDES,TOTAL,UG/L
ZN-DISS,ZN-DISS,ZINC DISSOLVED,ZINC DISSOUS,ZINC,METALS,DISSOLVED,UG/L
ZN-EXT,ZN-EXT,ZINC EXTRACTABLE,ZINC EXTRACTIBLE,ZINC,METALS,EXTRACTABLE,UG/L
ZN-TOT,ZN-TOT,ZINC TOTAL,ZINC TOTAL,ZINC,METALS,TOTAL,UG/L
Flow,FLOW,FLOW,FLOW,FLOW,FLOW,NA,M3/S
CD-PART,CD-PART,CADMIUM PARTICULATE,,,,,UG|G
CU-PART,CU-PART,COPPER PARTICULATE,,,,,UG|G
PB-PART,PB-PART,LEAD PARTICULATE,,,,,UG|G
ZN-PART,ZN-PART,ZINC PARTICULATE,,,,,UG|G
HG-PART,HG-PART,MERCURY PARTICULATE,,,,,NG|G
HG-DISS,HG-DISS,MERCURY DISSOLVED,,,,,NG|L
PBDE-209,PBDE-209,PBDE,,,,,NG|G
