SampleId,Study,Site,SampleDate,Year,JulianDay,Name,Basin,KywId,KywName,EcoregionNumber,Ecoregion,Province,EnvirodatId,Description,Device,SampleNumber,SampleStatus,Latitude,Longitude,GPSDatum,Altitude,StreamOrder,DistanceFromSource,DrainageArea,Depth-Avg,Depth-BankfullMinusWetted,Depth-Max,Discharge,Macrophyte,Reach-CanopyCoverage,Reach-Logging,Reach-DomStreamsideVeg,Reach-Pools,Reach-Rapids,Reach-Riffles,Reach-StraightRun,Slope,Veg-Coniferous,Veg-Deciduous,Veg-GrassesFerns,Veg-Shrubs,Velocity-Avg,Velocity-Max,Width-Bankfull,Width-Wetted,XSEC-VelEquationSlope,XSEC-VelInstrumentDirect,XSEC-VelMethod,XSEC-VeloEquationIntercept,Rainfall01_JAN,Rainfall06_JUN,Snowfall06_JUN,SnowfallTotal_ANNUAL,Temp01_JANMax,Lake,Drainage-Area,StreamDensity,Reg-Alpine,Reg-Forest,Reg-Lake,Reg-UnregenForest,Reg-Wetland,Al ,As,B,Mg,Ni,Bedrock ,Boulder ,Cobble ,Gravel ,Pebble ,Sand ,Silt+Clay ,D50,Dg,Dominant-1st,Dominant-2nd,Embeddedness,PeriphytonCoverage,SurroundingMaterial,SlopeAvg,Ag,Al,Ba,CO3 ,General-Alkalinity,General-CarbonDOC,General-Colour,General-Conductivity,General-DO,General-pH,General-SolidsTDS,General-SolidsTSS,General-SpCond,General-TempAir,General-TempWater,General-Turbidity,Ni,Nitrogen-NH3,Nitrogen-NO2,Nitrogen-NO2+NO3,Nitrogen-NO3,Nitrogen-TDN,Nitrogen-TN,Nitrogen-TN_Organic,Phosphorus-OrthoP,Phosphorus-TDP,Phosphorus-TP,S,
18759,CABIN Training Module,AB05292,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; ~15km downstream of the town of Hope; dominant surrounding land use is forest,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
18760,CABIN Training Module,AB05293,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Falls Provincial Park; upstream of confluence with Campbell River; access from campsite #2; dominant land use is logging,Kick Net,1,Test,50.0365306,-125.2948889,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
18546,CABIN Training Module,AC09201,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Hwy; access via Kingsvale bridge, kick area ~ 50m upstream of bridge; parked in gravel area; Water samples collected at 11:30;;Width, depths and velocity collected downstream of kick area;;Water Chemistry:  Nitrogen, Nitrate fell below DL (<0.002 mg/L); Nitrogen, Nitrite fell below DL (<0.005 mg/L)",Kick Net,1,Test,49.9051111,-120.9155000,nad83,2716,3,,,24.6,75,32,,0,1,0,,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,,,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.0025,,0.001,,0.05,,0.003,,0.004,,
18548,CABIN Training Module,AC09202,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"access via Bulgur Rd. before reserve; ~ 15 km downstream of the town of Hope; car left in gravel parking area (~400m from sampling site).  Water is murky/silty, so it is difficult to see footing; slippery rocks, depth drops quickly (therefore test depth with pole/kicknet before stepping out; water samples collected at 10:00 ;;Width, depth and velocity collected downstream of kick area",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,0,,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,55.4,,,0,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
18549,CABIN Training Module,AC09203,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park; upstream of confluence with Campbell River; Access from Campsite #2; did not kick all the way across stream (too deep and fast on right bank).  Water samples collected at 15:00. ;;Stream widths, depths and velocity measured downstream of kick area.  Rotary Meter #1-519.   ",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
19013,CABIN Training Module,AG03041,30/09/2008 12:00:00 AM,2008,274,Coldwater river,Coldwater river,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"N of Coquihalla hwy; access via kingsvale bridge ~50m u/s. There is surrounding forest, logging, field/pasture, agri. Dominant use is field/pasture.;Riffle stream w/sampler1 using 400um kick net for total of 3min to a depth of 30cm;;Water chemistry at 11:30am",Kick Net,1,Test,49.9051111,-120.9155000,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,6,34,19,37,4,0,4.55,3.5,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.0025,,0.001,,0.05,,0.003,,0.004,,
19017,CABIN Training Module,AG03042,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraswer River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgur Rd. before reserve; d/s of town of Hope. Surrounding landuse is forest (dominant), field/pasture, residential/urban. Limited access on L bank, kick area on R bank by good riparian zone",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
19018,CABIN Training Module,AG03043,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"Elk falls Provincial Park; u/s of confluence with Campbell R.; access from campsite #2; surrounding land use is forest, logging (dominant), mining, res/urban, and rec. Sample taken at 15:00",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
16962,CABIN Training Module,AJ08031,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"North of Coquihalla Highway, access via Kingsvale, bridge approx. 50m upstream",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,24.6,75,32,,0,1,,,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,,2,,,,,,,,,,10.3,7.8,,,112,11,12.48,2,,,,,,,,,,,,,
16965,CABIN Training Module,AJ08032,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"access via the Bulgur Road before reserve, downstream of the town of Hope",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,,,,,11.38,7.5,,,98,9,13.4,,,,,,,,,,,,,,
16966,CABIN Training Module,AJ08033,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"at Elk Falls Provincial Park; upstream of confluence with Campbell River, access at Campsite 2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,16,15,,0,1,,4,1,0,1,1,0.012,1,1,1,1,,,23.5,15,,3,3,,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,,,,,10.48,7.8,,,90.4,10,12,,,,,,,,,,,,,,
17363,CABIN Training Module,AKN04261,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,"North of Coquihalla Highway, access via Kingsvale, bridge approx 50 metres upstream.",Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,4,34,19,39,4,0,4.3,3.3,6,5,4,3,2,,,,,,,,,,10.3,7.8,,,112,11,12.48,2,,,,,,,,,,,,,
17364,CABIN Training Module,AKN04262,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,"Access via Bulgar road before the reserve, downstream of the town of Hope.",Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,,,,,11.38,7.5,,,98,9,13.4,,,,,,,,,,,,,,
17365,CABIN Training Module,AKN04263,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Falls Provincial Park; upstream of confluence with Campbell River.  Access at Campsite #2.,Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,,15,,0,1,,,1,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,,3,3,,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,,,,,10.48,7.8,,,90.4,10,12,3.1,,,,,,,,,,,,,
18839,CABIN Training Module,AM05271,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Highway; access via Kingvale Bridge,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.0025,,0.001,,0.05,,0.003,,0.004,,
18841,CABIN Training Module,AM05272,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgur Rd before reserve; d/s of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,17,53,0,5,3.55,2.9,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
18845,CABIN Training Module,AM05273,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, upstream of confluence with Campbell River; access from campsite #2",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,,15,,0,1,,,0,0,1,1,0.012,1,1,1,1,0.31,0.38,23.5,15,,,,,,,,,,,,,,,,,,,,,,,0,17,66,2,15,0,0,11.8,12.3,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
17492,CABIN Training Module,AMI05221,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Hwy. Access via Kingsvale. Bridge about 50m upstream,Kick Net,1,Test,49.9051111,-120.9155000,nad83,91,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,,,,,10.3,7.8,,,112,11,12.48,2,,,,,,,,,,,,,
17493,CABIN Training Module,AMI05222,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,Access via Bulgar Rd before Reserve.  Downstream of the town of Hope.,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,5,0,3.65,3,5,4,3,1,2,,,,,,,,,,11.38,7.5,,,98,9,13.4,,,,,,,,,,,,,,
17494,CABIN Training Module,AMI05223,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,At Elk Fall Provincial Park.  Upstream of confluence within Campbell River.  Access at campsite #2.,Kick Net,1,Test,50.0365306,-125.2948889,nad83,16,3,,,12,16,15,,0,1,,4,1,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,,3,3,,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,,,,,10.48,7.8,,,90.4,10,12,3.1,,,,,,,,,,,,,
21911,CABIN Training Module,AP04131,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,This is site one for the Data entry assignment.,Kick Net,1,Test,49.9051100,-120.9155000,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,3,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.0025,,0.001,,0.05,,0.003,,0.004,,
21925,CABIN Training Module,AP04132,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,This is site 2 for the data entry training module.,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,5,0,3.65,3,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
21926,CABIN Training Module,AP04133,28/09/2009 12:00:00 AM,2009,271,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,This is site 3 for the data entry module.,Kick Net,1,Test,50.0365300,-125.2948900,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
18328,CABIN Training Module,AP04181,30/09/2008 12:00:00 AM,2008,274,Coldwater River,Coldwater River,08L04,Thompson,209,Thompson-Okanagan Plateau,British Columbia,,North of Coquihalla Hwy; access via kingsvale bridge ~50m u/s,Kick Net,1,Test,49.9050000,-120.9155556,nad83,2716,3,,,24.6,75,32,,0,1,,3,0,0,1,1,0.0131,1,1,1,1,0.37,0.71,30.3,14.5,,2,3,,,,,,,,,,,,,,,,,,,,0,5,34,19,38,4,0,4.5,3.4,6,5,4,3,2,,,,,,65,,,,10.3,7.8,,0.643,112,11,12.48,2,,,0.005,,0.002,,0.05,,0.003,,0.004,,
18329,CABIN Training Module,AP04182,29/09/2008 12:00:00 AM,2008,273,Fraser River,Fraser River,08M01,Lower Fraser,192,Pacific Ranges,British Columbia,,access via Bulgur Rd before reserve; d/s of the town of Hope,Kick Net,1,Test,49.3475000,-121.6055556,nad83,25,8,,,44,0,93,,0,1,,3,0,0,0,1,0.00012,1,1,1,1,0.47,0.63,350,350,,,1,,,,,,,,,,,,,,,,,,,,0,0,25,16,54,0,5,3.65,2.9,5,4,3,1,2,,,,,,55.4,,,,11.38,7.5,,12.92,98,9,13.4,,,,0.002,,0.022,0.09,,,,0.004,,,
18330,CABIN Training Module,AP04183,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Quinsam River,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,@ Elk Falls Provincial Park; u/s of confluence with Campbell River; access from campsite #2,Kick Net,1,Test,50.0365306,-125.2948889,nad83,16,3,,,12,15,15,,0,1,,4,0,0,1,1,0.012,1,1,1,1,0.37,0.38,23.5,15,0.6817,,2,0.0029,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
19971,CABIN Training Module,AR092808,28/09/2008 12:00:00 AM,2008,272,Quinsam River,Fraser River Basin,08H07,East Central Vancouver Island,194,Eastern Vancouver Island,British Columbia,,"At Elk Falls Provincial Park, upstream of confluence with Campbell River, access from campsite #2.",Kick Net,1,Test,50.0366667,-125.2950000,nad83,16,3,,,12,15,15,,0,1,,,0,0,1,1,0.012,1,1,1,1,2.1,2.12,23.5,15,,,1,,,,,,,,,,,,,,,,,,,,0,18,65,2,15,0,0,12,12.5,6,7,4,3,4,,,,,,44.3,,,,10.48,7.8,,2.34,90.4,10,12,3.1,,,,0.048,,0.27,,,,0.006,,,
